value,canonical_type,confidence,types_found,count_per_type,entities_to_reclassify,edges_affected
control van,EQUIPMENT,ambiguous,EQUIPMENT; LOCATION,EQUIPMENT=1; LOCATION=1,1,1
hand rail,EQUIPMENT,high,BODY_PART; EQUIPMENT,EQUIPMENT=13; BODY_PART=1,1,1
bolt,EQUIPMENT,high,BODY_PART; EQUIPMENT,EQUIPMENT=9; BODY_PART=1,1,1
boot,BODY_PART,ambiguous,BODY_PART; EQUIPMENT,BODY_PART=1; EQUIPMENT=1,1,1
concrete edge,BODY_PART,ambiguous,BODY_PART; LOCATION,BODY_PART=1; LOCATION=1,1,1
crown,BODY_PART,moderate,BODY_PART; EQUIPMENT,BODY_PART=4; EQUIPMENT=1,1,1
ch'o,LOCATION,moderate,BODY_PART; LOCATION,LOCATION=3; BODY_PART=1,1,1
doors,EQUIPMENT,moderate,BODY_PART; EQUIPMENT,EQUIPMENT=2; BODY_PART=1,1,1
glass,BODY_PART,ambiguous,BODY_PART; EQUIPMENT,BODY_PART=1; EQUIPMENT=1,1,1
floor plate,BODY_PART,ambiguous,BODY_PART; EQUIPMENT,BODY_PART=1; EQUIPMENT=1,1,1
cliquets,BODY_PART,ambiguous,BODY_PART; EQUIPMENT,BODY_PART=1; EQUIPMENT=1,1,1
emergency room,LOCATION,high,LOCATION; ORGANIZATION,LOCATION=20; ORGANIZATION=1,1,1
flatbed,EQUIPMENT,high,EQUIPMENT; LOCATION,EQUIPMENT=7; LOCATION=1,1,1
engineering building,LOCATION,ambiguous,LOCATION; ORGANIZATION,LOCATION=1; ORGANIZATION=1,1,1
client field site,LOCATION,high,LOCATION; ORGANIZATION,LOCATION=11; ORGANIZATION=1,1,1
cleaning agent,EQUIPMENT,ambiguous,EQUIPMENT; ORGANIZATION,EQUIPMENT=1; ORGANIZATION=1,1,1
escada,BODY_PART,ambiguous,BODY_PART; LOCATION,BODY_PART=1; LOCATION=1,1,1
chute,EQUIPMENT,moderate,EQUIPMENT; LOCATION,EQUIPMENT=4; LOCATION=1,1,1
exhaust manifold,BODY_PART,ambiguous,BODY_PART; EQUIPMENT,BODY_PART=1; EQUIPMENT=1,1,1
chuck jaws,EQUIPMENT,ambiguous,EQUIPMENT; LOCATION,EQUIPMENT=1; LOCATION=1,1,1
first step,BODY_PART,moderate,BODY_PART; LOCATION,BODY_PART=2; LOCATION=1,1,1
catwalk,LOCATION,moderate,BODY_PART; LOCATION,LOCATION=3; BODY_PART=1,1,1
eyebolt,BODY_PART,ambiguous,BODY_PART; EQUIPMENT,BODY_PART=1; EQUIPMENT=1,1,1
first aid room,LOCATION,high,EQUIPMENT; LOCATION,LOCATION=17; EQUIPMENT=1,1,1
first aid,INJURY_TYPE,moderate,INJURY_TYPE; LOCATION,INJURY_TYPE=3; LOCATION=1,1,1
firing line,LOCATION,high,EQUIPMENT; LOCATION,LOCATION=27; EQUIPMENT=1,1,1
fire watch,ORGANIZATION,high,EQUIPMENT; ORGANIZATION,ORGANIZATION=14; EQUIPMENT=1,1,1
fire hydrant,EQUIPMENT,ambiguous,EQUIPMENT; LOCATION,EQUIPMENT=1; LOCATION=1,1,1
chuck,EQUIPMENT,moderate,BODY_PART; EQUIPMENT,EQUIPMENT=4; BODY_PART=1,1,1
chete,EQUIPMENT,ambiguous,EQUIPMENT; LOCATION,EQUIPMENT=1; LOCATION=1,1,1
factory 2,LOCATION,moderate,LOCATION; ORGANIZATION,LOCATION=3; ORGANIZATION=1,1,1
charge hand,BODY_PART,ambiguous,BODY_PART; EQUIPMENT,BODY_PART=1; EQUIPMENT=1,1,1
chamber,LOCATION,moderate,EQUIPMENT; LOCATION,LOCATION=3; EQUIPMENT=1,1,1
chair,EQUIPMENT,high,EQUIPMENT; LOCATION,EQUIPMENT=41; LOCATION=1,1,1
cavalette,BODY_PART,ambiguous,BODY_PART; EQUIPMENT,BODY_PART=1; EQUIPMENT=1,1,1
field office,LOCATION,moderate,LOCATION; ORGANIZATION,LOCATION=2; ORGANIZATION=1,1,1
ch.o.,BODY_PART,ambiguous,BODY_PART; LOCATION,BODY_PART=1; LOCATION=1,1,1
floor mat,EQUIPMENT,moderate,EQUIPMENT; LOCATION,EQUIPMENT=2; LOCATION=1,1,1
flow cross,EQUIPMENT,moderate,EQUIPMENT; LOCATION,EQUIPMENT=4; LOCATION=1,1,1
generator,EQUIPMENT,high,EQUIPMENT; LOCATION,EQUIPMENT=43; LOCATION=1,1,1
flute,BODY_PART,ambiguous,BODY_PART; LOCATION,BODY_PART=1; LOCATION=1,1,1
general waste skip,EQUIPMENT,ambiguous,EQUIPMENT; LOCATION,EQUIPMENT=1; LOCATION=1,1,1
gearbox,EQUIPMENT,high,EQUIPMENT; LOCATION,EQUIPMENT=5; LOCATION=1,1,1
brake,BODY_PART,ambiguous,BODY_PART; EQUIPMENT,BODY_PART=1; EQUIPMENT=1,1,1
collection network,EQUIPMENT,ambiguous,EQUIPMENT; ORGANIZATION,EQUIPMENT=1; ORGANIZATION=1,1,1
bride,BODY_PART,ambiguous,BODY_PART; LOCATION,BODY_PART=1; LOCATION=1,1,1
gate valve,EQUIPMENT,high,EQUIPMENT; LOCATION,EQUIPMENT=13; LOCATION=1,1,1
coat,BODY_PART,moderate,BODY_PART; EQUIPMENT,BODY_PART=2; EQUIPMENT=1,1,1
bulwark,LOCATION,moderate,BODY_PART; LOCATION,LOCATION=2; BODY_PART=1,1,1
dive control,LOCATION,moderate,EQUIPMENT; LOCATION,LOCATION=2; EQUIPMENT=1,1,1
docking head,EQUIPMENT,ambiguous,EQUIPMENT; LOCATION,EQUIPMENT=1; LOCATION=1,1,1
cell,LOCATION,high,BODY_PART; LOCATION,LOCATION=7; BODY_PART=1,1,1
bunding,EQUIPMENT,ambiguous,EQUIPMENT; LOCATION,EQUIPMENT=1; LOCATION=1,1,1
drip pan,EQUIPMENT,moderate,EQUIPMENT; LOCATION,EQUIPMENT=2; LOCATION=1,1,1
duct bank,EQUIPMENT,ambiguous,EQUIPMENT; LOCATION,EQUIPMENT=1; LOCATION=1,1,1
bus,EQUIPMENT,moderate,EQUIPMENT; LOCATION,EQUIPMENT=2; LOCATION=1,1,1
butchery,LOCATION,ambiguous,LOCATION; ORGANIZATION,LOCATION=1; ORGANIZATION=1,1,1
ducting,EQUIPMENT,moderate,EQUIPMENT; LOCATION,EQUIPMENT=2; LOCATION=1,1,1
front,BODY_PART,high,BODY_PART; LOCATION,BODY_PART=6; LOCATION=1,1,1
frac tree,EQUIPMENT,ambiguous,EQUIPMENT; LOCATION,EQUIPMENT=1; LOCATION=1,1,1
cab area,BODY_PART,ambiguous,BODY_PART; LOCATION,BODY_PART=1; LOCATION=1,1,1
cabinet,EQUIPMENT,high,EQUIPMENT; LOCATION,EQUIPMENT=5; LOCATION=1,1,1
elevated platform,EQUIPMENT,ambiguous,EQUIPMENT; LOCATION,EQUIPMENT=1; LOCATION=1,1,1
forno,EQUIPMENT,ambiguous,EQUIPMENT; LOCATION,EQUIPMENT=1; LOCATION=1,1,1
elevator,EQUIPMENT,high,EQUIPMENT; LOCATION,EQUIPMENT=14; LOCATION=1,1,1
forefinger,BODY_PART,moderate,BODY_PART; INJURY_TYPE,BODY_PART=3; INJURY_TYPE=1,1,1
emergencies,LOCATION,moderate,LOCATION; ORGANIZATION,LOCATION=2; ORGANIZATION=1,1,1
cluster,EQUIPMENT,ambiguous,EQUIPMENT; LOCATION,EQUIPMENT=1; LOCATION=1,1,1
fire,INJURY_TYPE,ambiguous,INJURY_TYPE; ORGANIZATION,INJURY_TYPE=1; ORGANIZATION=1,1,1
113-SSH-001,EQUIPMENT,moderate,EQUIPMENT; LOCATION,EQUIPMENT=2; LOCATION=1,1,1
harness,EQUIPMENT,high,BODY_PART; EQUIPMENT,EQUIPMENT=7; BODY_PART=1,1,1
system,EQUIPMENT,high,EQUIPMENT; LOCATION,EQUIPMENT=14; LOCATION=1,1,1
shipyard,ORGANIZATION,high,LOCATION; ORGANIZATION,ORGANIZATION=7; LOCATION=1,1,1
shoreside hospital,LOCATION,ambiguous,LOCATION; ORGANIZATION,LOCATION=1; ORGANIZATION=1,1,1
shoreside medical facility,LOCATION,ambiguous,LOCATION; ORGANIZATION,LOCATION=1; ORGANIZATION=1,1,1
shot line,EQUIPMENT,ambiguous,EQUIPMENT; LOCATION,EQUIPMENT=1; LOCATION=1,1,1
shoulder,BODY_PART,high,BODY_PART; LOCATION,BODY_PART=121; LOCATION=1,1,1
shower,BODY_PART,moderate,BODY_PART; LOCATION,BODY_PART=4; LOCATION=1,1,1
shutter door,EQUIPMENT,moderate,EQUIPMENT; LOCATION,EQUIPMENT=2; LOCATION=1,1,1
side,BODY_PART,moderate,BODY_PART; LOCATION,BODY_PART=3; LOCATION=1,1,1
skip,LOCATION,moderate,EQUIPMENT; LOCATION,LOCATION=3; EQUIPMENT=1,1,1
sleeper,BODY_PART,moderate,BODY_PART; EQUIPMENT,BODY_PART=3; EQUIPMENT=1,1,1
slurry,EQUIPMENT,ambiguous,EQUIPMENT; INJURY_TYPE,EQUIPMENT=1; INJURY_TYPE=1,1,1
south pipe rack,EQUIPMENT,ambiguous,EQUIPMENT; LOCATION,EQUIPMENT=1; LOCATION=1,1,1
spot,LOCATION,moderate,BODY_PART; LOCATION,LOCATION=2; BODY_PART=1,1,1
stanchion,EQUIPMENT,moderate,BODY_PART; EQUIPMENT,EQUIPMENT=2; BODY_PART=1,1,1
stbd reel,EQUIPMENT,moderate,EQUIPMENT; LOCATION,EQUIPMENT=2; LOCATION=1,1,1
steering wheel,EQUIPMENT,moderate,BODY_PART; EQUIPMENT,EQUIPMENT=2; BODY_PART=1,1,1
stern,BODY_PART,high,BODY_PART; LOCATION,BODY_PART=5; LOCATION=1,1,1
stop block,EQUIPMENT,ambiguous,EQUIPMENT; LOCATION,EQUIPMENT=1; LOCATION=1,1,1
storage,LOCATION,moderate,EQUIPMENT; LOCATION,LOCATION=2; EQUIPMENT=1,1,1
storage tank,LOCATION,moderate,EQUIPMENT; LOCATION,LOCATION=2; EQUIPMENT=1,1,1
store,ORGANIZATION,moderate,LOCATION; ORGANIZATION,ORGANIZATION=4; LOCATION=1,1,1
stores hatch,LOCATION,moderate,EQUIPMENT; LOCATION,LOCATION=2; EQUIPMENT=1,1,1
straight joints,BODY_PART,moderate,BODY_PART; EQUIPMENT,BODY_PART=2; EQUIPMENT=1,1,1
strawbery,EQUIPMENT,ambiguous,EQUIPMENT; ORGANIZATION,EQUIPMENT=1; ORGANIZATION=1,1,1
structure workshop,LOCATION,ambiguous,LOCATION; ORGANIZATION,LOCATION=1; ORGANIZATION=1,1,1
shipside,BODY_PART,ambiguous,BODY_PART; LOCATION,BODY_PART=1; LOCATION=1,1,1
shaft,LOCATION,moderate,EQUIPMENT; LOCATION,LOCATION=2; EQUIPMENT=1,1,1
service bar,EQUIPMENT,moderate,BODY_PART; EQUIPMENT,EQUIPMENT=2; BODY_PART=1,1,1
roll up door,EQUIPMENT,moderate,EQUIPMENT; LOCATION,EQUIPMENT=4; LOCATION=1,1,1
reolen,BODY_PART,ambiguous,BODY_PART; LOCATION,BODY_PART=1; LOCATION=1,1,1
reservoir,LOCATION,moderate,EQUIPMENT; LOCATION,LOCATION=3; EQUIPMENT=1,1,1
rest shelter,LOCATION,moderate,EQUIPMENT; LOCATION,LOCATION=2; EQUIPMENT=1,1,1
restroom,LOCATION,high,BODY_PART; LOCATION,LOCATION=7; BODY_PART=1,1,1
rig crew,ORGANIZATION,high,EQUIPMENT; ORGANIZATION,ORGANIZATION=9; EQUIPMENT=1,1,1
rig hand,EQUIPMENT,moderate,BODY_PART; EQUIPMENT,EQUIPMENT=2; BODY_PART=1,1,1
right arm,BODY_PART,high,BODY_PART; INJURY_TYPE,BODY_PART=71; INJURY_TYPE=1,1,1
right forearm,BODY_PART,high,BODY_PART; INJURY_TYPE,BODY_PART=33; INJURY_TYPE=1,1,1
right hand,BODY_PART,high,BODY_PART; INJURY_TYPE,BODY_PART=358; INJURY_TYPE=1,1,1
right side,BODY_PART,high,BODY_PART; LOCATION,BODY_PART=29; LOCATION=1,1,1
rod,BODY_PART,ambiguous,BODY_PART; EQUIPMENT,BODY_PART=1; EQUIPMENT=1,1,1
roller,EQUIPMENT,high,BODY_PART; EQUIPMENT,EQUIPMENT=23; BODY_PART=1,1,1
semi-remorque,EQUIPMENT,ambiguous,EQUIPMENT; INJURY_TYPE,EQUIPMENT=1; INJURY_TYPE=1,1,1
rotary union,EQUIPMENT,moderate,EQUIPMENT; ORGANIZATION,EQUIPMENT=2; ORGANIZATION=1,1,1
safety barrier,EQUIPMENT,ambiguous,EQUIPMENT; LOCATION,EQUIPMENT=1; LOCATION=1,1,1
sand,EQUIPMENT,ambiguous,EQUIPMENT; LOCATION,EQUIPMENT=1; LOCATION=1,1,1
scaffold access,EQUIPMENT,ambiguous,EQUIPMENT; LOCATION,EQUIPMENT=1; LOCATION=1,1,1
scaffold crew,EQUIPMENT,ambiguous,EQUIPMENT; ORGANIZATION,EQUIPMENT=1; ORGANIZATION=1,1,1
scaffolding,EQUIPMENT,high,EQUIPMENT; LOCATION,EQUIPMENT=62; LOCATION=1,1,1
scaffolding access,EQUIPMENT,ambiguous,EQUIPMENT; LOCATION,EQUIPMENT=1; LOCATION=1,1,1
scaffolding structure,EQUIPMENT,moderate,EQUIPMENT; LOCATION,EQUIPMENT=2; LOCATION=1,1,1
scaffoldings,EQUIPMENT,ambiguous,EQUIPMENT; LOCATION,EQUIPMENT=1; LOCATION=1,1,1
scotch,EQUIPMENT,high,EQUIPMENT; ORGANIZATION,EQUIPMENT=9; ORGANIZATION=1,1,1
seafarer staircase,EQUIPMENT,ambiguous,EQUIPMENT; LOCATION,EQUIPMENT=1; LOCATION=1,1,1
subsea manifold,EQUIPMENT,ambiguous,EQUIPMENT; LOCATION,EQUIPMENT=1; LOCATION=1,1,1
tailgate,BODY_PART,high,BODY_PART; EQUIPMENT,BODY_PART=15; EQUIPMENT=1,1,1
reception switch,EQUIPMENT,moderate,EQUIPMENT; LOCATION,EQUIPMENT=2; LOCATION=1,1,1
tailstock,BODY_PART,moderate,BODY_PART; EQUIPMENT,BODY_PART=2; EQUIPMENT=1,1,1
turntable deck,EQUIPMENT,ambiguous,EQUIPMENT; LOCATION,EQUIPMENT=1; LOCATION=1,1,1
two fingers,BODY_PART,high,BODY_PART; INJURY_TYPE,BODY_PART=5; INJURY_TYPE=1,1,1
underoller,EQUIPMENT,moderate,BODY_PART; EQUIPMENT,EQUIPMENT=2; BODY_PART=1,1,1
underroller,EQUIPMENT,high,EQUIPMENT; ORGANIZATION,EQUIPMENT=5; ORGANIZATION=1,1,1
valve stem,BODY_PART,ambiguous,BODY_PART; EQUIPMENT,BODY_PART=1; EQUIPMENT=1,1,1
van,EQUIPMENT,high,EQUIPMENT; LOCATION,EQUIPMENT=5; LOCATION=1,1,1
veggen,BODY_PART,moderate,BODY_PART; LOCATION,BODY_PART=2; LOCATION=1,1,1
vent line,EQUIPMENT,moderate,EQUIPMENT; LOCATION,EQUIPMENT=3; LOCATION=1,1,1
visier,EQUIPMENT,moderate,BODY_PART; EQUIPMENT,EQUIPMENT=3; BODY_PART=1,1,1
walk behind,BODY_PART,ambiguous,BODY_PART; EQUIPMENT,BODY_PART=1; EQUIPMENT=1,1,1
walk in centre,ORGANIZATION,moderate,LOCATION; ORGANIZATION,ORGANIZATION=2; LOCATION=1,1,1
wardrobe,BODY_PART,ambiguous,BODY_PART; LOCATION,BODY_PART=1; LOCATION=1,1,1
waste bin,LOCATION,moderate,EQUIPMENT; LOCATION,LOCATION=3; EQUIPMENT=1,1,1
watchman,EQUIPMENT,ambiguous,EQUIPMENT; ORGANIZATION,EQUIPMENT=1; ORGANIZATION=1,1,1
weco,ORGANIZATION,moderate,EQUIPMENT; ORGANIZATION,ORGANIZATION=2; EQUIPMENT=1,1,1
welding booth,EQUIPMENT,moderate,EQUIPMENT; LOCATION,EQUIPMENT=4; LOCATION=1,1,1
welding cabin,LOCATION,moderate,EQUIPMENT; LOCATION,LOCATION=2; EQUIPMENT=1,1,1
welding deck,LOCATION,moderate,EQUIPMENT; LOCATION,LOCATION=2; EQUIPMENT=1,1,1
welding platform,EQUIPMENT,ambiguous,EQUIPMENT; LOCATION,EQUIPMENT=1; LOCATION=1,1,1
well head,LOCATION,high,EQUIPMENT; LOCATION,LOCATION=7; EQUIPMENT=1,1,1
wheels,BODY_PART,moderate,BODY_PART; EQUIPMENT,BODY_PART=3; EQUIPMENT=1,1,1
wooden box,EQUIPMENT,moderate,EQUIPMENT; LOCATION,EQUIPMENT=2; LOCATION=1,1,1
wooden pallet,EQUIPMENT,high,EQUIPMENT; LOCATION,EQUIPMENT=9; LOCATION=1,1,1
workbench,LOCATION,high,EQUIPMENT; LOCATION,LOCATION=9; EQUIPMENT=1,1,1
workstation,LOCATION,high,EQUIPMENT; LOCATION,LOCATION=13; EQUIPMENT=1,1,1
turning wheel,BODY_PART,moderate,BODY_PART; EQUIPMENT,BODY_PART=2; EQUIPMENT=1,1,1
tug,ORGANIZATION,moderate,EQUIPMENT; ORGANIZATION,ORGANIZATION=2; EQUIPMENT=1,1,1
tube,EQUIPMENT,high,BODY_PART; EQUIPMENT,EQUIPMENT=6; BODY_PART=1,1,1
top bunk,LOCATION,moderate,BODY_PART; LOCATION,LOCATION=2; BODY_PART=1,1,1
talus,LOCATION,moderate,BODY_PART; LOCATION,LOCATION=2; BODY_PART=1,1,1
tarima,EQUIPMENT,ambiguous,EQUIPMENT; ORGANIZATION,EQUIPMENT=1; ORGANIZATION=1,1,1
termination head,BODY_PART,ambiguous,BODY_PART; LOCATION,BODY_PART=1; LOCATION=1,1,1
test booth,LOCATION,moderate,EQUIPMENT; LOCATION,LOCATION=4; EQUIPMENT=1,1,1
test manifold,EQUIPMENT,moderate,EQUIPMENT; LOCATION,EQUIPMENT=2; LOCATION=1,1,1
the hanger,EQUIPMENT,ambiguous,EQUIPMENT; LOCATION,EQUIPMENT=1; LOCATION=1,1,1
thumb,BODY_PART,high,BODY_PART; INJURY_TYPE,BODY_PART=119; INJURY_TYPE=1,1,1
tipper skip,EQUIPMENT,ambiguous,EQUIPMENT; LOCATION,EQUIPMENT=1; LOCATION=1,1,1
tire,BODY_PART,high,BODY_PART; EQUIPMENT,BODY_PART=9; EQUIPMENT=1,1,1
toe plate,BODY_PART,ambiguous,BODY_PART; LOCATION,BODY_PART=1; LOCATION=1,1,1
tool crib,LOCATION,moderate,EQUIPMENT; LOCATION,LOCATION=2; EQUIPMENT=1,1,1
tornozelo,BODY_PART,moderate,BODY_PART; LOCATION,BODY_PART=3; LOCATION=1,1,1
truck platform,EQUIPMENT,moderate,EQUIPMENT; LOCATION,EQUIPMENT=3; LOCATION=1,1,1
tower scaffold,EQUIPMENT,ambiguous,EQUIPMENT; LOCATION,EQUIPMENT=1; LOCATION=1,1,1
track 3,EQUIPMENT,ambiguous,EQUIPMENT; LOCATION,EQUIPMENT=1; LOCATION=1,1,1
trailer deck,EQUIPMENT,ambiguous,EQUIPMENT; LOCATION,EQUIPMENT=1; LOCATION=1,1,1
transit van,EQUIPMENT,moderate,EQUIPMENT; ORGANIZATION,EQUIPMENT=2; ORGANIZATION=1,1,1
transport box,EQUIPMENT,ambiguous,EQUIPMENT; LOCATION,EQUIPMENT=1; LOCATION=1,1,1
transport vehicle,EQUIPMENT,ambiguous,EQUIPMENT; LOCATION,EQUIPMENT=1; LOCATION=1,1,1
treatment center,LOCATION,ambiguous,LOCATION; ORGANIZATION,LOCATION=1; ORGANIZATION=1,1,1
tree,LOCATION,moderate,BODY_PART; LOCATION,LOCATION=4; BODY_PART=1,1,1
trench box,EQUIPMENT,ambiguous,EQUIPMENT; LOCATION,EQUIPMENT=1; LOCATION=1,1,1
trichenille,EQUIPMENT,moderate,EQUIPMENT; LOCATION,EQUIPMENT=2; LOCATION=1,1,1
tropear,INJURY_TYPE,moderate,INJURY_TYPE; LOCATION,INJURY_TYPE=2; LOCATION=1,1,1
reformer,LOCATION,moderate,EQUIPMENT; LOCATION,LOCATION=2; EQUIPMENT=1,1,1
rear wheels,BODY_PART,ambiguous,BODY_PART; EQUIPMENT,BODY_PART=1; EQUIPMENT=1,1,1
hat,EQUIPMENT,moderate,BODY_PART; EQUIPMENT,EQUIPMENT=3; BODY_PART=1,1,1
mask,BODY_PART,ambiguous,BODY_PART; EQUIPMENT,BODY_PART=1; EQUIPMENT=1,1,1
lift eyes,EQUIPMENT,moderate,BODY_PART; EQUIPMENT,EQUIPMENT=3; BODY_PART=1,1,1
lift station,EQUIPMENT,ambiguous,EQUIPMENT; LOCATION,EQUIPMENT=1; LOCATION=1,1,1
ligaments,BODY_PART,moderate,BODY_PART; INJURY_TYPE,BODY_PART=2; INJURY_TYPE=1,1,1
load cell,EQUIPMENT,moderate,EQUIPMENT; LOCATION,EQUIPMENT=4; LOCATION=1,1,1
local medical clinic,LOCATION,moderate,LOCATION; ORGANIZATION,LOCATION=2; ORGANIZATION=1,1,1
local medical facility,LOCATION,moderate,LOCATION; ORGANIZATION,LOCATION=2; ORGANIZATION=1,1,1
lock,EQUIPMENT,moderate,EQUIPMENT; LOCATION,EQUIPMENT=3; LOCATION=1,1,1
lombaries,BODY_PART,ambiguous,BODY_PART; LOCATION,BODY_PART=1; LOCATION=1,1,1
low pressure loop,EQUIPMENT,ambiguous,EQUIPMENT; LOCATION,EQUIPMENT=1; LOCATION=1,1,1
lunette,EQUIPMENT,moderate,BODY_PART; EQUIPMENT,EQUIPMENT=2; BODY_PART=1,1,1
m.o.,BODY_PART,ambiguous,BODY_PART; EQUIPMENT,BODY_PART=1; EQUIPMENT=1,1,1
machine shop,ORGANIZATION,moderate,LOCATION; ORGANIZATION,ORGANIZATION=3; LOCATION=1,1,1
main block,EQUIPMENT,high,BODY_PART; EQUIPMENT,EQUIPMENT=14; BODY_PART=1,1,1
main bore,LOCATION,moderate,BODY_PART; LOCATION,LOCATION=2; BODY_PART=1,1,1
main deck,LOCATION,high,BODY_PART; LOCATION,LOCATION=322; BODY_PART=1,1,1
main office,LOCATION,high,LOCATION; ORGANIZATION,LOCATION=12; ORGANIZATION=1,1,1
mainline 2,EQUIPMENT,ambiguous,EQUIPMENT; LOCATION,EQUIPMENT=1; LOCATION=1,1,1
maintenance office,LOCATION,ambiguous,LOCATION; ORGANIZATION,LOCATION=1; ORGANIZATION=1,1,1
major right,BODY_PART,ambiguous,BODY_PART; LOCATION,BODY_PART=1; LOCATION=1,1,1
man basket,EQUIPMENT,high,EQUIPMENT; LOCATION,EQUIPMENT=12; LOCATION=1,1,1
man lift,EQUIPMENT,high,EQUIPMENT; ORGANIZATION,EQUIPMENT=35; ORGANIZATION=1,1,1
manbasket,BODY_PART,ambiguous,BODY_PART; LOCATION,BODY_PART=1; LOCATION=1,1,1
mancamp,ORGANIZATION,moderate,LOCATION; ORGANIZATION,ORGANIZATION=2; LOCATION=1,1,1
mangueiras,BODY_PART,moderate,BODY_PART; EQUIPMENT,BODY_PART=4; EQUIPMENT=1,1,1
manifold,EQUIPMENT,high,BODY_PART; EQUIPMENT,EQUIPMENT=34; BODY_PART=1,1,1
lid,EQUIPMENT,moderate,BODY_PART; EQUIPMENT,EQUIPMENT=3; BODY_PART=1,1,1
level 2 clinic,ORGANIZATION,moderate,LOCATION; ORGANIZATION,ORGANIZATION=2; LOCATION=1,1,1
left leg,BODY_PART,high,BODY_PART; INJURY_TYPE,BODY_PART=111; INJURY_TYPE=1,1,1
index,BODY_PART,moderate,BODY_PART; LOCATION,BODY_PART=3; LOCATION=1,1,1
head,BODY_PART,high,BODY_PART; INJURY_TYPE,BODY_PART=177; INJURY_TYPE=1,1,1
head board,BODY_PART,ambiguous,BODY_PART; EQUIPMENT,BODY_PART=1; EQUIPMENT=1,1,1
health center,ORGANIZATION,moderate,LOCATION; ORGANIZATION,ORGANIZATION=2; LOCATION=1,1,1
heliport,LOCATION,moderate,EQUIPMENT; LOCATION,LOCATION=3; EQUIPMENT=1,1,1
hook,EQUIPMENT,high,BODY_PART; EQUIPMENT,EQUIPMENT=17; BODY_PART=1,1,1
hospital Dr. Beda,ORGANIZATION,high,LOCATION; ORGANIZATION,ORGANIZATION=5; LOCATION=1,1,1
hull,LOCATION,moderate,BODY_PART; LOCATION,LOCATION=2; BODY_PART=1,1,1
hydrant,EQUIPMENT,moderate,EQUIPMENT; LOCATION,EQUIPMENT=3; LOCATION=1,1,1
immediate,INJURY_TYPE,ambiguous,INJURY_TYPE; ORGANIZATION,INJURY_TYPE=1; ORGANIZATION=1,1,1
inboard,EQUIPMENT,moderate,BODY_PART; EQUIPMENT,EQUIPMENT=2; BODY_PART=1,1,1
incinerator,EQUIPMENT,ambiguous,EQUIPMENT; LOCATION,EQUIPMENT=1; LOCATION=1,1,1
inspection table,EQUIPMENT,moderate,EQUIPMENT; LOCATION,EQUIPMENT=2; LOCATION=1,1,1
left hand,BODY_PART,high,BODY_PART; INJURY_TYPE,BODY_PART=423; INJURY_TYPE=1,1,1
instrument room,LOCATION,moderate,EQUIPMENT; LOCATION,LOCATION=4; EQUIPMENT=1,1,1
interior,LOCATION,moderate,BODY_PART; LOCATION,LOCATION=3; BODY_PART=1,1,1
jib arm,BODY_PART,ambiguous,BODY_PART; EQUIPMENT,BODY_PART=1; EQUIPMENT=1,1,1
jockey wheel,BODY_PART,ambiguous,BODY_PART; EQUIPMENT,BODY_PART=1; EQUIPMENT=1,1,1
joint,BODY_PART,moderate,BODY_PART; LOCATION,BODY_PART=3; LOCATION=1,1,1
jumper,EQUIPMENT,high,BODY_PART; EQUIPMENT,EQUIPMENT=8; BODY_PART=1,1,1
kaseneuve tower,EQUIPMENT,ambiguous,EQUIPMENT; LOCATION,EQUIPMENT=1; LOCATION=1,1,1
laboratory,LOCATION,moderate,LOCATION; ORGANIZATION,LOCATION=4; ORGANIZATION=1,1,1
lay plate,EQUIPMENT,moderate,EQUIPMENT; LOCATION,EQUIPMENT=2; LOCATION=1,1,1
leader,BODY_PART,ambiguous,BODY_PART; EQUIPMENT,BODY_PART=1; EQUIPMENT=1,1,1
left eye,BODY_PART,high,BODY_PART; INJURY_TYPE,BODY_PART=92; INJURY_TYPE=1,1,1
manlift,EQUIPMENT,high,EQUIPMENT; ORGANIZATION,EQUIPMENT=43; ORGANIZATION=1,1,1
metal structure,EQUIPMENT,ambiguous,EQUIPMENT; LOCATION,EQUIPMENT=1; LOCATION=1,1,1
raw material,EQUIPMENT,ambiguous,EQUIPMENT; ORGANIZATION,EQUIPMENT=1; ORGANIZATION=1,1,1
mezzanine,BODY_PART,ambiguous,BODY_PART; LOCATION,BODY_PART=1; LOCATION=1,1,1
pallets,EQUIPMENT,high,EQUIPMENT; LOCATION,EQUIPMENT=7; LOCATION=1,1,1
parts,EQUIPMENT,moderate,BODY_PART; EQUIPMENT,EQUIPMENT=4; BODY_PART=1,1,1
passenger side,BODY_PART,high,BODY_PART; LOCATION,BODY_PART=14; LOCATION=1,1,1
patesca,BODY_PART,ambiguous,BODY_PART; EQUIPMENT,BODY_PART=1; EQUIPMENT=1,1,1
paywelder,EQUIPMENT,ambiguous,EQUIPMENT; ORGANIZATION,EQUIPMENT=1; ORGANIZATION=1,1,1
pickup,EQUIPMENT,ambiguous,EQUIPMENT; LOCATION,EQUIPMENT=1; LOCATION=1,1,1
pickup truck,EQUIPMENT,moderate,EQUIPMENT; LOCATION,EQUIPMENT=2; LOCATION=1,1,1
pillar,BODY_PART,ambiguous,BODY_PART; LOCATION,BODY_PART=1; LOCATION=1,1,1
pipe rack foundation,EQUIPMENT,ambiguous,EQUIPMENT; LOCATION,EQUIPMENT=1; LOCATION=1,1,1
